,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len
151,320,011E James Manning 1604 A NEW BOOKE intituled I am for you all Complexions__28_MED.txt,2,"IF the putrefaction proceedeth most of the earth or vppermost partes of the earth , as from stinking channells , standing lakes , priuyes , or other polluted places , as dunghills , vncleane kept houses , and such like , then there will be felt many sudden great stinches , and vnsauerie smells , such as cannot be distinguished , or discerned , what it is , or whereof it commeth , because it is confounded , beeing made of diuers stinches : in that yeare there wil be many frogges , toades , venemous wormes , fleas , and flyes .",stinking great vnsauerie diuers channells standing lakes priuyes other polluted places dunghills vncleane kept houses many frogges toades venemous wormes fleas flyes stinches smells stinches,Olfactive,Quality,103
152,323,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,1,"The next accident of vrine is the qualitie : and the qualities , as witnesseth Mercuriale , according to the doctrine of the Arabian Physitians , are fiue : the smell , the tast , the sound , the touch , and the colour .",vrine smell,Olfactive,Smell\_Source,45
153,325,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,10,"The qualitie either of diet or drugs , ( as hath bene said of the good smell of vrines ) may likewise procure vnto it an euill smell .",good of vrines smell,Olfactive,Quality,29
154,328,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,17,"Concerning the sicks vrine ( saith he ) most do teach vs that stinking vrines signifie putrefaction of humours , in so much that by the difference of the smels , they take vpon them to iudge of the seuerall humours so putrified .",vrines the seuerall humours so putrified stinking smels,Olfactive,Smell\_Source,44
155,330,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,19,"I willingly yeeld to them , that stinke or strong smell doth argue putrefaction in such vrines : but of which parts shall this putrefaction be ?",stinke strong putrefaction in such vrines smell,Olfactive,Quality,27
156,333,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,2,"As for the smell , vrines haue little or no smell , or else a sweet and pleasing smell , or finally a stinking smell .",little sweet pleasing stinking vrines smell smell smell smell,Olfactive,Quality,26
157,336,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,21,"Nay so farre off is the stinking smell from giuing vs any particular notice of the disease , that it cannot so much as affoord vs any certaine generall knowledge of the same .",stinking smell,Olfactive,Quality,34
158,338,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,22,For many sweet smelling simples ( saith Montanus ) may cause a most stinking vrine .,sweet stinking vrine smelling,Olfactive,Quality,16
159,341,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,23,"Cholericke and hote complexioned men void often very strong smelling vrines , howsoeuer free fro ?",very strong vrines smelling,Olfactive,Quality,16
160,344,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,25,"And by what meanes , I pray thee , shouldst thou from the stinking smell of the vrine know putrefaction ?",stinking of the vrine smell,Olfactive,Quality,21
161,347,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,26,or how can this putrefaction procure this stinking smell ?,stinking smell,Olfactive,Quality,10
162,349,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,27,"If this were so , then would it necessarily follow , that whosoeuer were seised with a feauer proceeding from putrefaction of humours , should voyd stinking vrines , the which is most false .",stinking vrines,Olfactive,Quality,35
163,351,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,28,"The truth of this assumption may from hence appeare , that for the most part among an hundred sicke of such feauers , scarce shalt thou find one of their vrines so to smell , nor yet their bloud at the opening of a veine .",vrines smell,Olfactive,Smell\_Source,46
164,353,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,29,"And for this cause well said Sauonarola in his treatise of Vrines , that there are other signes also to be obserued in the annoying of putrified members , if we purpose well and orderly to examine , trie and finde out any skill concerning vrines .",vrines,Olfactive,Smell\_Source,47
165,354,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,3,"No smell , saith Mercuriall , proceedeth from no other cause then from the extinguishing of naturall heate : howbeit it may sometimes proceed from drinke of a cold qualitie , like as we see in cold countries , and the like complexions , the smell of the vrine is not so much to be discerned . rines smell well , either in regard of diet or drugs : but especially by meanes of a temperate heate concocting well .",well of the vrine rines smell smell smell,Olfactive,Quality,80
166,357,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,30,And indeed a thousand causes there are which may alter and change their smell .,their smell,Olfactive,Smell\_Source,15
167,359,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,31,By the smell then onely there can neuer be any certaintie collected to informe our iudgements concerning any disease .,smell,Olfactive,Smell\_Word,20
168,360,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,32,"But I am afraid the Reader will take it ill , that I so long detaine him among so vnpleasing smels ; and my selfe begin to waxe wearie of so vnworthie a thing , and as I neuer tooke any pleasure in the same , so here I leaue it to them that like it better .",so vnpleasing smels,Olfactive,Quality,58
169,362,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,37,"But yet if any purpose to practise this point , I wish him to go to the Arabians , who haue written so curiously concerning this point ; and it may be , in regard of their aromaticall drugs , their vrines may be of better taste then those of our Europaeans , who feed on grosser food .",drugs aromaticall,Olfactive,Smell\_Source,59
170,364,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,4,Stinking vrines come by foure seuerall meanes . 1 .,vrines Stinking,Olfactive,Smell\_Source,10
171,366,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,7,"Galen witnesseth , that whatsoeuer thing is putrified hath an euill fauoured smell.Wherefore in Pestilentiall feauers the vrines are most commonly of a stinking smell .",euill fauoured stinking vrines smell.Wherefore smell,Olfactive,Quality,26
172,369,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,8,"As also if the vrines passe through any place oppressed with putrid vlcers ; or yet if any purulent matter be mingled with them , they become stinking . 3 .",vrines they stinking,Olfactive,Smell\_Source,31
173,371,012E Pieter van Foreest 1623 The Arraignment of Urines__40_MED.txt,9,The too long retention of vrine in the bladder may make it to stinke . 4 .,it stinke,Olfactive,Smell\_Source,17
174,373,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,18,"Carminative medicines must be laid upon the whole inward region , as fomentation made of the leaves of Rue , Motherwort , Penniroyall , the flowers of Melilot , and Camomile , or unguent . de Althea , with the oyl of Camomile , Dill , and Rue ; for this loosen ¦ eth the passages by opening the pores , an expelling the winde ; pessaries may be p • • up , made with Civet , Musk , and Amber but you must affront her nose with stinking odours , as the steame of brimstone , the smoke ascending from old shoes burn Partridge feathers , sagapenum galbanum , as fetida , and the like , cast into the fire ; because the Matrix doth , as it were abhor , retreat , and flie from these things , whereas sweet things doe allure to them .",stinking the steame of brimstone the smoke ascending from old shoes burn Partridge feathers sagapenum galbanum fetida odours,Olfactive,Quality,149
175,376,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,19,"But some curious braine may here demand , why sweet things held to the nose doe breed the fits of the Mother , and on the contrary , stinking things appease those fits ?",stinking things,Olfactive,Quality,34
176,378,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,20,"I answer ; sweet things applyed to the Matrix , in regard that they are hot , doe expell the winde , cut into the slow and tenacious phlegm , and afterwards purge it out : but stinking things applied to the Nose , consume the ascending vapours with their heat ; but you may still demand , if hot stinking things be good to break the winde , why may they not be laid to the Matrix , as well as sweet things ?",stinking hot stinking things things,Olfactive,Quality,85
177,380,013E Edward Farnham 1656 The Compleat Doctoress__32_MED.txt,22,"the Matrix embraceth , and meeteth sweet odours and perfumes , but unsavory and stinking sents it abhors , and flies from ; for ' tis a most certaine truth , that every creature , even by naturall instinct , shunneth inconveniences , and affecteth things convenient .",sweet unsavory stinking odours perfumes sents,Olfactive,Quality,48
178,382,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,10,"Strong Bitters , with a Fetid Odor , as Ballote ; these by their Bitterness correct Acids in the Stomach and Blood , and by their Fetidness amend the Acid in the Nervous Juyce , and cause an equal expansive motion of the Spirits , and prevent their unequal distribution into some Nerves , as in Fits of Convulsion .",Fetid Ballote these Odor Fetidness,Olfactive,Quality,60
179,385,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,104,"The second Class of Volatile Salts , is in rank Tastes , and smells like Garlick and Onyons , whose Smells are rank Fetid , and their Tastes very pungent Hot .",like Garlick and Onyons whose rank Fetid The second Class of Volatile Salts smells Smells,Olfactive,Evoked\_Odorant,32
180,389,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,105,"From Horse-Radish Leaves , bottled up with Water two Months ; and from their smelling like Garlick , as well as from their pungent Taste , and quick flying up the Nose and Eyes , like Sal-Ammoniack , I conclude , that the Cepaceous kind , would very properly constitute a second degree of Volatile Salts , and a much stronger than the former .",like Garlick From Horse-Radish Leaves their smelling,Olfactive,Evoked\_Odorant,65
181,392,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,107,"Thlaspi tastes like Horse-Radish , and smells like Garlick .",like Garlick Thlaspi smells,Olfactive,Evoked\_Odorant,10
182,395,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,109,"So in the first Class of Exulcerators , there is a very Acrid Taste , and quick pungent Scent , depending on the Salt only ; the Plant being Watry , having no strong Oyly Smell : and these may be called Watry Exulcerators ; as the Ranunculus , Anemone , Aron , Dragons , Ranunculus flammeus : Vesicatories pierce the Pores , and by their pungent Acrimony irritate the Glandules in the Cutis , to send forth their Serum , and separate the Cuticula into a Blister .",quick pungent strong Oyly in the first Class of Exulcerators the Plant Scent Smell,Olfactive,Quality,89
183,398,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,11,"Strong Bitters , with a Pungency , or Acrid Bitters , as in Celandine ; these correct Acids , and open Obstructions also , by giving a quick motion to the Blood , which is done by their Volatile Bitter Oyl , and Volatile Pungent Salt , on which their Taste and Vertue depend .",Volatile Salt Pungent,Olfactive,Quality,55
184,401,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,112,"The second Class is where the Volatile Salt is mixt with a hot fiery Oyl ; as in Euphorbium , Ivy-Gum ; and these Plants have a strong Smell , with an Acrid Taste .",strong Euphorbium Ivy-Gum these Plants Smell,Olfactive,Quality,35
185,404,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,113,"The Milky or Resinous Exulcerators , have an Oyl more fixt , joyned to an Acid-Acrid Salt ; as Tithymalus , and Esula ; and these smell Acid , rather than of any hot Scent .",Acid hot The Milky or Resinous Exulcerators Tithymalus Esula these smell Scent,Olfactive,Quality,36
186,407,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,114,"Mezereon , and Laureola , have a faint Lily-Smell ; in these the Oyl is not much conducing to any Corrosiveness : But that depends on the Volatile Salt alone , made more Volatile by addition of some Oyl .",faint Mezereon Laureola Lily-Smell,Olfactive,Quality,40
187,410,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,12,"Strong Bitters Aromatick , as in Wormwood and Eupatorium Cannabinum , they work by their Volatile Oyl and Salt on the Blood , and Stomach ; whence they are accounted Antidotes against Coagulations , Venoms , and Pestilential Infections .",Strong Bitters Wormwood Eupatorium Cannabinum Aromatick,Olfactive,Quality,40
188,413,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,13,"Strong Bitters only , or pure Bitters , without any Aromatick or Fetid Odor , or Pungency ; such is the Bitterness in Bitter Almonds , and Centaury , their parts are more fixed than any of the other Strong Bitters : These cleanse the Stomach from Acid Phlegm ; open the Liver , by correcting the coagulating Acids in the Blood ; they mix with Acids , and pass by rine ; they preserve the Blood from coagulation , and help the office of the crude Bile in Hydropical Cachexies ; they have an Astriction by their Acid and Earthy Parts , which abounding in Bitters , help the Oyl in correcting Acids .",Aromatick Fetid Pungency Odor,Olfactive,Quality,115
189,415,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,15,"Elder-Bitters and Smells , as in Scorphularia ; these have a discussing Faculty outwardly , by their Fetidness and Bitterness .",Scorphularia their Smells Fetidness,Olfactive,Smell\_Source,21
190,417,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,17,"Nauseous-Bitter , which depends on a composition of Mucilage and Bitter , as in Bryony-Roots , Squills , Berries of Spina Cervina , and Fox-Gloves ; the Mucilage in the Stomach relaxes the Fibres , and causes the Bitter to stick longer on them ; and so to act more strongly in Vomiting and Purging ; the same Taste is in Polygala and Sena . 2 .",in Bryony-Roots Squills Berries of Spina Cervina Fox-Gloves Nauseous-Bitter,Olfactive,Smell\_Source,67
191,419,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,18,"A Nauseous Taste depends on a sweet Bitter , mixed with Mucilage and Pungency , as in Aloes , Agarick , Rubarb : And Docks want only the Sweetness ; but have Bitter , Slimy , Sub-acrid Astringency . 3 .",Aloes Agarick Rubarb Nauseous,Olfactive,Smell\_Source,41
192,421,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,19,"Too much Sweetness is Nauseous ; so is Manna , Honey , Polypody-Root ; a Sliminess or Gumminess is in Honey and Manna . 4 .",Manna Honey Polypody-Root Nauseous,Olfactive,Smell\_Source,26
193,423,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,20,"Too much Bitter is Nauseous : Thus , in sweet Gall , the over-much Sweet or Bitter , over-impregnates the Papillae in the Mouth and Stomach , and cause an aversion in the Stomach ; as too much Light offends the Eyes , and makes them Water . 5 .",in sweet Gall Nauseous,Olfactive,Smell\_Source,50
194,425,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,21,"An ill Smell gives a Nauseousness ; as in Aron Pouches , whose Smell will make any one vomit : And such have been the Smells of many Herbs which I bottled with warm Water , as Henbane and Spurge .",ill in Aron Pouches whose of many Herbs Henbane Spurge Smell Smell Smells,Olfactive,Quality,41
195,428,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,22,"In Tastes depending on a Volatile Oyl of Vegetables , ( with which is mixed a Pungent Volatile Salt ) this Oyly Salt produces either an Aromatick or Fetid Smell , and a pleasant Aromatick or Offensive Taste .",Volatile Aromatick Fetid Salt this Oyly Salt Pungent Smell,Olfactive,Quality,39
196,431,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,24,"Aromaticks affect both the Smell and Taste gratefully ; they have a motion of Particles and Texture , agreeable to the Motion and Texture of Spirits : Spirits of Vegetables differ nothing from their Oyly Salts but by their being largely diffused in a Vehicle ; and an Oyly Salt is a Spirit contracted , and without a Vehicle .",gratefully Aromaticks Smell,Olfactive,Quality,60
197,434,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,25,"The effects of Aromaticks on the Body , are to warm the Stomach , and discuss Wind ; and these constitute the Class of the Sweet Aromaticks , or Fennil-Tastes : These are accounted Carminatives , because they rarefie the flatuous exhalations from the Chyle , in the primae viae , and so discuss them .",exhalations from the Chyle flatuous,Olfactive,Odour\_Carrier,56
198,437,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,27,"An Oyl may be distilled from these Plants , which has the Taste , Smell , and Vertue of these Plants : Whence I conclude , the Taste and Smell to proceed from the Oyl and Volatile Salt associated .",of these Plants An Oyl from the Oyl Volatile Salt Smell Smell,Olfactive,Evoked\_Odorant,40
199,440,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,28,"The Second Class of Aromaticks , is the Bitterish Aromaticks , as Rosemary , Marjoram , Basil , Calamint , and Penny-Royal : By their Bitterness adjoyned to their Volatile Oyl and Salt , they correct Acids in the Stomach , cleanse the Lungs , and open Obstructions in the Glands , caused by coagulate Serum .",Bitterish Rosemary Marjoram Basil Calamint Penny-Royal Aromaticks,Olfactive,Quality,57
200,443,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,29,"The same effect is produced by the Saline Pungent Oyl , in altering the Acids in the Glands of the Brain , in correcting and attenuating its Lympha , and Succus Nervosus ; which , as all other Glandulous Humors , are prone to Stagnation , and Acidity : These Aromaticks by exciting their Motion , correcting Acidities , and thereby rendring the Succus Nervosus more Volatile , deserve the name of Cephalicks ; and it ' s not improbable , that the Volatile parts dispose the Medicine to circulate towards the Brain , as Windy Liquors disturb the Head , and no other part .",Saline Oyl Cephalicks Pungent Aromaticks,Olfactive,Quality,106
201,446,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,3,"A middle state of Vegetable Oyl , is observable in Turpentine Plants , as in Hypericon ; and their Smell and Taste will evince them to be pure Turpentine ; their Taste is Bitterish and Astringent , and their Smell Terebinthinate : in these the Acid fixes much on the Earthy Parts , and produces an Astringency ; whereby the Oyl is more loosned from it .",Terebinthinate Turpentine Plants Hypericon their their Smell Smell,Olfactive,Quality,67
202,449,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,31,The same Taste in these is spread through the whole Plant ; only the Bitterness depends on a fixt Oyl or Terebinth ; but the Aromatick on the Oyly Salt .,on the Oyly Salt Aromatick,Olfactive,Smell\_Source,31
203,451,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,35,"Aromatick-Astringents : As Aromaticks , they are Cordial ; and from their Astringency , they strengthen the Fibres of the Stomach and Membranes , and all Nervous Parts ; and by an Acid evident in their Astringency , they hinder the greater Rarefaction of the Blood by their fragrant pungent Oyl .",fragrant pungent Aromatick-Astringents their Oyl,Olfactive,Quality,52
204,453,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,38,"Of Tastes joyned to Fetid Smells , making them contrary to Aromatick .",Fetid Smells,Olfactive,Quality,13
205,455,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,39,"WHEN the Oyl and Salt of Plants are in very great Proportion in any Plant , so as to emit violent Steams , offending the Organ of Smelling , but chiefly ( forcibly ) repelling the Spirits towards the Brain , ( which creates an Aversion to it ) a Fetid Smell is perceived .",violent Steams offending,Olfactive,Smell\_Source,55
206,457,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,40,"That a Fetor proceeds from Oyls , appears by the Smell of Rancid Oyl , and all distill ' d Oyly Substances ; as Fat , Butter , and Oyl-Olive distill ' d .",from Oyls of Rancid Oyl all distill ' d Oyly Substances Fat Butter Oyl-Olive distill ' d Fetor Smell,Olfactive,Smell\_Source,34
207,459,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,41,"That a Fetor , in the highest Degree , has also a Volatile Salt admixt , is proved by the Excrements of Animals , putrefied Flesh , rine , Blood , and putrefied Vegetables ; which yield a Volatile Salt .",in the highest Degree the Excrements of Animals putrefied Flesh rine Blood putrefied Vegetables Fetor,Olfactive,Quality,41
208,462,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,42,"It does appear by divers Herbs bottled with Water for two Months , that a Fetor is produced ; from the Mucilaginous , as Mallow-Leaves ; from the Bitter , as Artichoak-Leaves ; from the Narcotick , an exceeding Fetidness , as Henbane-Leaves ; from the Excoriators , as Spurge : These smelling like the Excrements of Animals .",like the Excrements of Animals exceeding by divers Herbs from the Mucilaginous Mallow-Leaves from the Bitter Artichoak-Leaves from the Narcotick Henbane-Leaves from the Excoriators Spurge These Fetor Fetidness smelling,Olfactive,Evoked\_Odorant,59
209,466,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,43,Horse-radish smelt like Garlick ; Sorrel like Horse-dung .,like Garlick like Horse-dung Horse-radish Sorrel smelt,Olfactive,Evoked\_Odorant,9
210,469,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,44,"Putrefaction concurrs to produce these Fetors , by Separation of a Volatile Oyl and Salt , from the Acids and Earthy Parts of the Plants : So Spirit of Soot has an Oyly Salt ; and the Fetid Oyly Salt is easily separated from rine and Blood , after Putrefaction .",Fetid Putrefaction Oyly Salt Fetors,Olfactive,Quality,51
211,472,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,45,"Many Acrid Plants are Fetid ; so Sophia Chirurgorum , and the Pouches of Aron , are abominable .",Fetid abominable Many Acrid Plants Sophia Chirurgorum the Pouches of Aron,Olfactive,Quality,19
212,474,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,46,"Cotula Faetida , Nettles , Garlick , and Onyons , have an Acrid Taste , and are very Fetid : .",very Cotula Faetida Nettles Garlick Onyons Fetid,Olfactive,Quality,21
213,477,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,47,"So is Galbanum , Assa Faetida , and Sagapenum .",Galbanum Assa Faetida Sagapenum,Olfactive,Smell\_Source,10
214,478,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,48,"Divers Bitters are Fetid , as stinking Horehound ; and all Elder-Smells , as Scrophularia , are Bitter-Fetid : So the stinking Gums are Bitter , as well as Acrid and Fetid .",Fetid Bitter-Fetid stinking Acrid Fetid stinking Horehound Scrophularia Gums Elder-Smells,Olfactive,Quality,33
215,481,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,49,"The Mucilaginous are also Fetid , as in Atriplex olida .",The Mucilaginous in Atriplex olida Fetid,Olfactive,Smell\_Source,11
216,483,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,5,"The Vertues of Turpentine Plants depending on the Oyl , are Pectoral , Cleansing , and Diuretick ; and by their Astringent Faculty stopping ; but by both Vulnerary : for what better Vulnerary can there be , than that which is Cleansing , and Astringent , and smells Balsamick , as Turpentine Plants These Plants do bear the name of Balsamick , which are Terebinthinate and Aromatick ; as Botrys , Mecha-Balsam , Juniper , Ladanum segetum ; and these are more agreeable to the Stomach , than ordinary Turpentine ; and besides , their Vulnerary Faculty may be Cordial , they being also Aromatick .",Balsamick Balsamick Terebinthinate Turpentine Plants Botrys Mecha-Balsam Juniper Ladanum segetum they smells Aromatick Aromatick,Olfactive,Quality,107
217,486,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,50,"That there is but a Difference in degree betwixt Aromatick , and Fetid Plants , appears by many Instances ; as Galeopsis smells Fetid at first handling , afterwards Aromatick .",Fetid Aromatick Plants Galeopsis Aromatick Fetid smells,Olfactive,Quality,31
218,489,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,51,"The Flowers of Valerian are very strong , and offensive at first getting ; after a little drying , they are Aromatick : So in the Preparations of Musk and Civet , if in a great quantity , or while fresh , they stink ; afterwards , in a small quantity , they are more grateful : So the Leaves of Coriander stink ; but the Seed is Aromatick .",very strong offensive Aromatick The Flowers of Valerian they of Musk Civet they they the Leaves of Coriander the Seed Aromatick stink more grateful stink,Olfactive,Quality,70
219,492,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,52,"Elder-Leaves are Fetid , yet the Flowers are very Fragrant ; so are the Flowers of Saponaria , though the Leaves resemble Elder .",very Elder-Leaves the Flowers the Flowers of Saponaria Fetid Fragrant,Olfactive,Quality,24
220,495,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,53,"The Blossoms of most Trees are Fragrant , though the Leaves smell Crude .",Crude The Blossoms of most Trees the Leaves Fragrant smell,Olfactive,Quality,14
221,498,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,54,"From the afore-mention ' d Instances , Fetids are 1 .",Fetids,Olfactive,Smell\_Word,11
222,499,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,58,"From the afore-mention ' d it may be inferr ' d , that Fetids inwardly are of a very hot Nature , discussing Tumors outwardly , and opening the Pores .",of a very hot Nature Fetids,Olfactive,Quality,31
223,501,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,59,"Inwardly , Fetids , by their Volatile Parts , do pierce the Channels of the Nerves , mend the Crudity of their Nervous Juyce ; and by their Faetor , they excite a different Motion from that in Hysterick Fits , and in Convulsions ; and do remove the Cause of that tumultuous Motion in the Spirits , by correcting Acidities , and Stagnation in the Succus Nervosus , which is disposed to them , as all other Glandulous Liquors be .",their Fetids Faetor,Olfactive,Smell\_Source,82
224,503,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,6,"To these I must add another Class of Balsamicks , which having Turpentine in their Smell , give a Smell like dead Nettle ; so in red Lamium there is a Turpentine flavor , but another Smell is perceived also .",like dead Nettle another Class of Balsamicks their another Turpentine red Lamium Smell Smell Smell,Olfactive,Evoked\_Odorant,41
225,508,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,60,"Narcoticks have all of them an heavy offensive Smell , like Poppies , or Solanum ; or have a sweet heady Smell , like Roots of Bears-Ears .",heavy offensive sweet heady Narcoticks like Poppies Solanum like Roots of Bears-Ears Smell Smell,Olfactive,Quality,28
226,511,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,63,"The Second Class may be of Bitterish , Sub-acrid , Mucilaginous Narcoticks ; as Solanum Lethale , Bacciferum , Stramonium , Cynoglossum : Besides the Pungency , Solanum Lignosum has a Bitterness : The Roots of Cynogloss boyl ' d , smell like Spirit of Harts-Horn .",like Spirit of Harts-Horn The Roots of Cynogloss smell,Olfactive,Evoked\_Odorant,47
227,514,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,64,"Fresh Tabaco smells Narcotick about the Flowers , and is Bitter , Mucilaginous , and Acrid : It much resembles Henbane by its Figure , Oyl and Clamminess to the Touch ; but by its Bitterness and Pungency , Solanum Lignosum .",Solanum Lignosum Narcotick Bitter Mucilaginous Acrid Fresh Tabaco its smells Pungency,Olfactive,Evoked\_Odorant,42
228,518,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,65,"The Third Class of Opiates , is Sweetish , Acrid , and Fetid , differing from Poppy smell , as Cicutaria , Napellus .",Sweetish Acrid Fetid The Third Class of Opiates Cicutaria Napellus smell,Olfactive,Quality,24
229,521,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,68,"The Fourth Class has a Bitterish Acrid Taste , as Cowslips ; and these have also a Fragrancy very heady , being of a low degree amongst Opiates : The Roots of Cowslips are very Acrid and Bitterish .",very heady The Fourth Class Fragrancy,Olfactive,Quality,39
230,524,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,69,"By the afore-mentioned Instances it appears , that Opiates have very hot Effluviums , which offend the Smell .",very hot Opiates Effluviums,Olfactive,Quality,19
231,527,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,7,"In Panax coloni , and Sideritis , there is the same Dead-Nettle Smell ; and in Galeopsis both Smells are perceivable .",Dead-Nettle perceivable Panax coloni Sideritis Galeopsis Smell Smells,Olfactive,Quality,22
232,530,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,70,"By the same , Opiates inwardly produce Sweat in so small a quantity as one or two grains ; and are very Fetid by their Oyly Acrid Salt , which runs through all the Classes of Opiates .",very Fetid by their Oyly Acrid Salt,Olfactive,Quality,38
233,532,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,8,"A third degree of Balsamicks is in the Geranium Moschatum , and Geranium Columbinum , which taste Astringent , & smell of Musk ; and since other Geraniums smell of Turpentine , but these of Musk , I do suppose that the highest state of the Oyl Vegetable , is a rarefied Turpentine , which thereby becomes Odoriferous : Hence Terebinthinates taken inwardly , after a farther separation from their Acid , by the Salts of the Blood , cause a Violet Smell in the rine , because Aromaticks produce the same effects in the rine ; therefore Aromatick Odors , and Turpentine , are of an agreeable nature .",Geranium Moschatum Geranium Columbinum other Geraniums these in the rine Violet Aromatick agreeable of Musk Turpentine of Musk Turpentine Terebinthinates Turpentine smell smell Odoriferous Smell Aromaticks Odors,Olfactive,Odour\_Carrier,110
234,536,014E John Floyer 1687 Pharmako Basnos__2427_MED.txt,80,"All Narcoticks have offensive Smells , by which we are taught by Nature to avoid them ; and this Antipathy can proceed from nothing , but the disagreeable Texture and Motion of the Narcotick Fumes to our Spirits : Opiates cause not Sleep , unless in great quantity , in Consumptive Bodies ; for in them , a little quantity troubles the Head , and disturbs the Spirits with Giddiness , because their Spirits are very hot and fiery , and their motion , for want of a serose Vehicle , very violent ; but it seems not probable , as some conjecture , that one grain of Opium should force so much Serum to flow to the glandules of the Brain , as to fill them , and produce Sleep , by too much diluting the Spirits : Whereas we frequently drink a full Gallon of Water , or other Liquors , which supply a greater quantity of Serum , without causing Sleep .",offensive All Narcoticks Smells,Olfactive,Quality,165
